wave,norm,flux
3000.00,0.290974,44692.3
3001.00,0.185572,28560.4
3002.00,0.155444,24023.8
3003.00,0.202151,31380.7
3004.00,0.318162,49545.0
3005.00,0.417792,65199.4
3006.00,0.400301,62600.1
3007.00,0.295138,46271.9
3008.00,0.212879,33505.7
3009.00,0.225395,35649.9
3010.00,0.314186,49856.4
3011.00,0.369067,58696.4
3012.00,0.359012,57271.4
3013.00,0.373124,59734.5
3014.00,0.387472,62210.1
3015.00,0.361913,58276.2
3016.00,0.320402,51749.3
3017.00,0.260144,42132.3
3018.00,0.184004,29883.6
3019.00,0.117633,19159.9
3020.00,0.0735123,12019.0
3021.00,0.0831275,13681.4
3022.00,0.169932,28064.5
3023.00,0.272091,45017.1
3024.00,0.296003,49068.5
3025.00,0.247841,41200.3
3026.00,0.246425,41164.0
3027.00,0.356153,59712.9
3028.00,0.459541,77226.6
3029.00,0.468759,78975.0
3030.00,0.419925,70960.2
3031.00,0.386847,65614.6
3032.00,0.437962,74578.3
3033.00,0.521007,88975.6
3034.00,0.541938,92810.8
3035.00,0.520741,89444.0
3036.00,0.427676,73632.4
3037.00,0.286339,49450.3
3038.00,0.259853,45115.0
3039.00,0.334974,58346.4
3040.00,0.354531,61891.5
3041.00,0.306599,53679.6
3042.00,0.281827,49542.0
3043.00,0.334534,59041.1
3044.00,0.412232,72964.0
3045.00,0.436354,77433.7
3046.00,0.375115,66725.3
3047.00,0.264629,47214.3
3048.00,0.240768,43180.8
3049.00,0.321701,57902.1
3050.00,0.390088,70403.2
3051.00,0.451981,81850.0
3052.00,0.508845,92399.9
3053.00,0.459332,83610.9
3054.00,0.379876,69399.2
3055.00,0.377207,69172.7
3056.00,0.353698,65016.2
3057.00,0.246579,45428.3
3058.00,0.158240,29269.3
3059.00,0.162199,30168.6
3060.00,0.253677,47362.5
3061.00,0.371314,69504.4
3062.00,0.443455,83222.1
3063.00,0.449742,84638.1
3064.00,0.424847,80215.4
3065.00,0.407623,77209.2
3066.00,0.345648,65640.5
3067.00,0.280458,53478.0
3068.00,0.339759,65092.6
3069.00,0.460892,88548.1
3070.00,0.513526,98912.4
3071.00,0.490868,94822.3
3072.00,0.441611,85588.4
3073.00,0.425260,82724.9
3074.00,0.425297,82984.3
3075.00,0.379554,74281.8
3076.00,0.367814,72283.1
3077.00,0.421468,83109.4
3078.00,0.447291,88459.0
3079.00,0.453425,89971.3
3080.00,0.460279,91627.3
3081.00,0.453846,90638.4
3082.00,0.439179,87993.5
3083.00,0.426298,85716.6
3084.00,0.480369,96979.5
3085.00,0.589497,119379.
3086.00,0.611159,124073.
3087.00,0.524410,106769.
3088.00,0.445464,91029.0
3089.00,0.421511,86446.1
3090.00,0.405432,83416.7
3091.00,0.372912,76968.2
3092.00,0.336974,69792.2
3093.00,0.339793,70656.6
3094.00,0.395496,82535.7
3095.00,0.444257,92979.7
3096.00,0.433313,90950.0
3097.00,0.401302,84521.4
3098.00,0.376224,79485.3
3099.00,0.292391,61917.1
3100.00,0.185252,39358.0
3101.00,0.164593,35173.4
3102.00,0.258733,55541.4
3103.00,0.416241,89592.7
3104.00,0.523064,112849.
3105.00,0.523573,113273.
3106.00,0.500350,108638.
3107.00,0.525027,114419.
3108.00,0.575475,125832.
3109.00,0.586801,128680.
3110.00,0.528564,116269.
3111.00,0.501978,110867.
3112.00,0.554705,122954.
3113.00,0.575202,127863.
3114.00,0.542391,120969.
3115.00,0.524232,117327.
3116.00,0.495990,111363.
3117.00,0.461008,103869.
3118.00,0.439884,99452.4
3119.00,0.419008,95051.4
3120.00,0.401335,91365.8
3121.00,0.412132,94173.7
3122.00,0.451223,103475.
3123.00,0.506014,116434.
3124.00,0.528879,122047.
3125.00,0.480738,111282.
3126.00,0.462287,107449.
3127.00,0.506831,118216.
3128.00,0.512996,120003.
3129.00,0.475445,111597.
3130.00,0.469339,110583.
3131.00,0.485728,114831.
3132.00,0.470162,111490.
3133.00,0.413818,98442.3
3134.00,0.374315,89400.2
3135.00,0.406556,97492.4
3136.00,0.461754,111095.
3137.00,0.505293,121982.
3138.00,0.543195,131567.
3139.00,0.558477,135718.
3140.00,0.577126,140756.
3141.00,0.599055,146575.
3142.00,0.541844,132936.
3143.00,0.412654,101543.
3144.00,0.325310,80361.7
3145.00,0.342083,84825.4
3146.00,0.410503,102048.
3147.00,0.450371,112215.
3148.00,0.501839,125380.
3149.00,0.579844,145209.
3150.00,0.604854,151802.
3151.00,0.588093,147947.
3152.00,0.558245,140782.
3153.00,0.528942,133724.
3154.00,0.497768,126152.
3155.00,0.469217,119213.
3156.00,0.428888,109214.
3157.00,0.360244,91948.5
3158.00,0.314626,80534.4
3159.00,0.322863,82878.5
3160.00,0.340037,87483.9
3161.00,0.328123,84623.0
3162.00,0.354073,91592.9
3163.00,0.432703,112209.
3164.00,0.472665,122817.
3165.00,0.454150,118282.
3166.00,0.451206,117834.
3167.00,0.467557,122395.
3168.00,0.452580,118753.
3169.00,0.468364,123254.
3170.00,0.548841,144800.
3171.00,0.603229,159492.
3172.00,0.603489,159931.
3173.00,0.594529,157951.
3174.00,0.595141,158510.
3175.00,0.605993,161811.
3176.00,0.630818,168852.
3177.00,0.612847,164389.
3178.00,0.521210,140110.
3179.00,0.425570,114695.
3180.00,0.381252,103036.
3181.00,0.363110,98376.0
3182.00,0.343656,93338.6
3183.00,0.343150,93452.3
3184.00,0.372294,101659.
3185.00,0.423319,115881.
3186.00,0.467116,128162.
3187.00,0.488538,134362.
3188.00,0.519572,143262.
3189.00,0.548152,151485.
3190.00,0.502365,139097.
3191.00,0.386360,107209.
3192.00,0.310144,86319.2
3193.00,0.324422,90578.4
3194.00,0.390484,109296.
3195.00,0.438904,123107.
3196.00,0.441691,124176.
3197.00,0.468863,132185.
3198.00,0.536722,151676.
3199.00,0.539723,152822.
3200.00,0.485379,137772.
3201.00,0.478572,136219.
3202.00,0.499301,142466.
3203.00,0.521074,149052.
3204.00,0.552117,158311.
3205.00,0.554748,159425.
3206.00,0.537465,154836.
3207.00,0.522001,150746.
3208.00,0.500294,144826.
3209.00,0.471509,136818.
3210.00,0.429147,124819.
3211.00,0.387309,112933.
3212.00,0.364006,106409.
3213.00,0.347779,101916.
3214.00,0.352804,103679.
3215.00,0.407649,120109.
3216.00,0.446601,131860.
3217.00,0.448986,132886.
3218.00,0.472607,140237.
3219.00,0.496014,147528.
3220.00,0.509250,151827.
3221.00,0.488721,146014.
3222.00,0.428177,128235.
3223.00,0.414984,124642.
3224.00,0.435381,131073.
3225.00,0.407887,123051.
3226.00,0.362272,109566.
3227.00,0.336395,101990.
3228.00,0.297801,90493.0
3229.00,0.267884,81629.1
3230.00,0.298635,91279.8
3231.00,0.375585,115074.
3232.00,0.419075,128646.
3233.00,0.385387,118536.
3234.00,0.321435,99107.2
3235.00,0.295189,91273.4
3236.00,0.308020,95501.2
3237.00,0.359859,111872.
3238.00,0.410598,127908.
3239.00,0.407876,127345.
3240.00,0.416551,130394.
3241.00,0.423097,132734.
3242.00,0.393743,123810.
3243.00,0.382013,120457.
3244.00,0.442439,139913.
3245.00,0.538042,170518.
3246.00,0.546858,173624.
3247.00,0.455240,144836.
3248.00,0.386551,123340.
3249.00,0.409164,130938.
3250.00,0.466129,149517.
3251.00,0.490795,157769.
3252.00,0.478220,154078.
3253.00,0.454236,146707.
3254.00,0.457876,148290.
3255.00,0.520903,169143.
3256.00,0.583470,189879.
3257.00,0.604484,197162.
3258.00,0.605285,197898.
3259.00,0.604464,198107.
3260.00,0.598230,196539.
3261.00,0.603311,198710.
3262.00,0.627939,207327.
3263.00,0.618243,204558.
3264.00,0.540511,179234.
3265.00,0.488262,162371.
3266.00,0.532153,177465.
3267.00,0.587647,196399.
3268.00,0.583952,195593.
3269.00,0.557186,187079.
3270.00,0.531341,178830.
3271.00,0.497695,167911.
3272.00,0.490090,165787.
3273.00,0.503350,170674.
3274.00,0.497536,169109.
3275.00,0.504443,171881.
3276.00,0.494611,168911.
3277.00,0.474195,162345.
3278.00,0.473910,162653.
3279.00,0.476209,163840.
3280.00,0.488417,168461.
3281.00,0.503557,174090.
3282.00,0.494793,171456.
3283.00,0.492081,170961.
3284.00,0.517779,180328.
3285.00,0.512393,178834.
3286.00,0.466870,163325.
3287.00,0.443525,155584.
3288.00,0.479571,168686.
3289.00,0.549350,193699.
3290.00,0.595831,210541.
3291.00,0.594924,210707.
3292.00,0.600175,213105.
3293.00,0.622698,221643.
3294.00,0.632972,225813.
3295.00,0.600527,214723.
3296.00,0.576778,206782.
3297.00,0.612977,220327.
3298.00,0.644421,232159.
3299.00,0.667423,241048.
3300.00,0.706878,255897.
3301.00,0.676727,245474.
3302.00,0.576195,209488.
3303.00,0.518798,189144.
3304.00,0.517804,189253.
3305.00,0.486427,178159.
3306.00,0.433678,159252.
3307.00,0.458219,168761.
3308.00,0.527574,194758.
3309.00,0.564725,208932.
3310.00,0.569801,211296.
3311.00,0.555772,206573.
3312.00,0.516695,192483.
3313.00,0.464213,173349.
3314.00,0.421020,157605.
3315.00,0.397089,149041.
3316.00,0.422573,159041.
3317.00,0.476258,179675.
3318.00,0.511381,193356.
3319.00,0.516886,195885.
3320.00,0.505205,191908.
3321.00,0.476528,181425.
3322.00,0.422857,161362.
3323.00,0.390712,149510.
3324.00,0.425318,163210.
3325.00,0.495663,190654.
3326.00,0.525616,202581.
3327.00,0.488569,188720.
