wave,norm,flux
3000.00,0.537744,450731.
3001.00,0.354214,297125.
3002.00,0.277819,233378.
3003.00,0.302469,254517.
3004.00,0.417378,351681.
3005.00,0.510890,430863.
3006.00,0.482351,407176.
3007.00,0.397055,335576.
3008.00,0.348327,294829.
3009.00,0.383743,325324.
3010.00,0.485050,411717.
3011.00,0.533787,453514.
3012.00,0.496454,422279.
3013.00,0.479865,408732.
3014.00,0.490190,418041.
3015.00,0.480802,410516.
3016.00,0.450518,385110.
3017.00,0.394812,337872.
3018.00,0.323821,277442.
3019.00,0.249174,213723.
3020.00,0.179957,154559.
3021.00,0.198337,170725.
3022.00,0.351491,302952.
3023.00,0.496144,427936.
3024.00,0.496380,428491.
3025.00,0.412428,356428.
3026.00,0.397142,343785.
3027.00,0.502487,435561.
3028.00,0.585641,508121.
3029.00,0.567299,492700.
3030.00,0.501590,436139.
3031.00,0.465062,404934.
3032.00,0.508232,443140.
3033.00,0.572484,499710.
3034.00,0.594325,519364.
3035.00,0.608905,532722.
3036.00,0.555007,486011.
3037.00,0.418847,367181.
3038.00,0.385879,338868.
3039.00,0.469944,413200.
3040.00,0.497369,437704.
3041.00,0.444539,391631.
3042.00,0.410292,361958.
3043.00,0.449568,397148.
3044.00,0.515318,455750.
3045.00,0.553286,489848.
3046.00,0.521426,462077.
3047.00,0.419610,372256.
3048.00,0.391697,348053.
3049.00,0.467305,415758.
3050.00,0.521624,464567.
3051.00,0.567514,506056.
3052.00,0.612805,547007.
3053.00,0.561333,501540.
3054.00,0.495177,443010.
3055.00,0.504849,452242.
3056.00,0.483509,433518.
3057.00,0.372354,334167.
3058.00,0.282910,254251.
3059.00,0.293223,263946.
3060.00,0.387122,348915.
3061.00,0.489723,441820.
3062.00,0.522584,471901.
3063.00,0.474750,429130.
3064.00,0.413263,374008.
3065.00,0.394705,357649.
3066.00,0.357961,324679.
3067.00,0.321057,291600.
3068.00,0.374080,340253.
3069.00,0.467279,425462.
3070.00,0.505239,460462.
3071.00,0.488328,445513.
3072.00,0.449125,410214.
3073.00,0.447289,409068.
3074.00,0.464901,425618.
3075.00,0.433237,397048.
3076.00,0.435678,399824.
3077.00,0.474785,436177.
3078.00,0.463856,426567.
3079.00,0.455757,419637.
3080.00,0.478546,441123.
3081.00,0.484904,447457.
3082.00,0.473350,437280.
3083.00,0.475400,439710.
3084.00,0.536457,496814.
3085.00,0.618876,573715.
3086.00,0.597583,554438.
3087.00,0.479930,445722.
3088.00,0.402764,374552.
3089.00,0.393722,366586.
3090.00,0.382136,356176.
3091.00,0.361741,337536.
3092.00,0.335328,313226.
3093.00,0.318794,298155.
3094.00,0.359414,336579.
3095.00,0.410303,384601.
3096.00,0.397373,372825.
3097.00,0.373714,351050.
3098.00,0.372244,350033.
3099.00,0.313019,294581.
3100.00,0.232524,219085.
3101.00,0.229339,216434.
3102.00,0.316355,298950.
3103.00,0.449903,425558.
3104.00,0.532840,504421.
3105.00,0.523256,495815.
3106.00,0.505153,479228.
3107.00,0.541632,514452.
3108.00,0.601722,572123.
3109.00,0.607312,577965.
3110.00,0.545053,519245.
3111.00,0.521292,497242.
3112.00,0.568261,542662.
3113.00,0.589360,563337.
3114.00,0.556898,532861.
3115.00,0.540860,518101.
3116.00,0.519428,498062.
3117.00,0.465193,446522.
3118.00,0.430096,413310.
3119.00,0.414039,398306.
3120.00,0.393565,379011.
3121.00,0.380190,366536.
3122.00,0.389237,375702.
3123.00,0.447135,432090.
3124.00,0.500883,484466.
3125.00,0.480344,465028.
3126.00,0.459373,445248.
3127.00,0.477027,462856.
3128.00,0.467279,453827.
3129.00,0.437642,425499.
3130.00,0.427749,416344.
3131.00,0.438317,427100.
3132.00,0.451075,439975.
3133.00,0.438554,428184.
3134.00,0.423495,413941.
3135.00,0.444646,435104.
3136.00,0.469461,459848.
3137.00,0.496870,487228.
3138.00,0.540070,530130.
3139.00,0.557890,548156.
3140.00,0.568051,558736.
3141.00,0.579479,570531.
3142.00,0.513946,506409.
3143.00,0.360334,355326.
3144.00,0.249433,246272.
3145.00,0.278986,275819.
3146.00,0.364666,360780.
3147.00,0.411275,407174.
3148.00,0.478411,474044.
3149.00,0.568294,563498.
3150.00,0.598577,593922.
3151.00,0.586025,581885.
3152.00,0.553125,549631.
3153.00,0.536630,533665.
3154.00,0.521047,518539.
3155.00,0.476114,474156.
3156.00,0.401059,399676.
3157.00,0.305510,304673.
3158.00,0.248880,248426.
3159.00,0.258083,257852.
3160.00,0.286922,286864.
3161.00,0.288822,288967.
3162.00,0.314206,314645.
3163.00,0.382036,382854.
3164.00,0.421006,422172.
3165.00,0.421276,422747.
3166.00,0.430629,432471.
3167.00,0.443662,445871.
3168.00,0.416705,419062.
3169.00,0.417222,419970.
3170.00,0.516577,520411.
3171.00,0.616146,621107.
3172.00,0.636454,641983.
3173.00,0.603235,608899.
3174.00,0.568675,574457.
3175.00,0.585572,592014.
3176.00,0.637749,645220.
3177.00,0.616482,624070.
3178.00,0.506943,513503.
3179.00,0.391686,397048.
3180.00,0.334908,339786.
3181.00,0.324106,329081.
3182.00,0.321305,326482.
3183.00,0.336568,342256.
3184.00,0.369725,376251.
3185.00,0.410793,418348.
3186.00,0.451869,460501.
3187.00,0.482189,491748.
3188.00,0.517975,528631.
3189.00,0.547116,558737.
3190.00,0.499735,510634.
3191.00,0.384812,393452.
3192.00,0.305550,312681.
3193.00,0.321313,329122.
3194.00,0.389404,399145.
3195.00,0.435127,446292.
3196.00,0.457862,469941.
3197.00,0.505296,519026.
3198.00,0.578545,594665.
3199.00,0.584666,601299.
3200.00,0.528661,544079.
3201.00,0.512732,528099.
3202.00,0.519287,535226.
3203.00,0.537714,554633.
3204.00,0.584157,602960.
3205.00,0.604879,624747.
3206.00,0.593150,613050.
3207.00,0.575842,595569.
3208.00,0.542987,561960.
3209.00,0.497446,515178.
3210.00,0.455516,472087.
3211.00,0.429971,445933.
3212.00,0.406941,422330.
3213.00,0.372071,386407.
3214.00,0.379242,394189.
3215.00,0.454666,472925.
3216.00,0.497305,517565.
3217.00,0.486633,506803.
3218.00,0.511307,532902.
3219.00,0.550513,574141.
3220.00,0.565560,590212.
3221.00,0.543579,567624.
3222.00,0.490436,512475.
3223.00,0.474874,496594.
3224.00,0.489633,512365.
3225.00,0.467583,489591.
3226.00,0.433477,454194.
3227.00,0.400711,420130.
3228.00,0.345711,362694.
3229.00,0.314468,330181.
3230.00,0.355976,374070.
3231.00,0.435361,457782.
3232.00,0.476872,501708.
3233.00,0.434955,457847.
3234.00,0.347819,366362.
3235.00,0.311525,328401.
3236.00,0.329787,347912.
3237.00,0.385701,407191.
3238.00,0.434964,459455.
3239.00,0.433828,458549.
3240.00,0.460463,487054.
3241.00,0.482266,510417.
3242.00,0.466642,494200.
3243.00,0.476010,504489.
3244.00,0.538519,571151.
3245.00,0.630625,669252.
3246.00,0.653261,693642.
3247.00,0.577612,613669.
3248.00,0.504388,536257.
3249.00,0.500378,532394.
3250.00,0.538429,573257.
3251.00,0.554679,590904.
3252.00,0.532712,567849.
3253.00,0.505098,538770.
3254.00,0.513821,548472.
3255.00,0.583048,622794.
3256.00,0.652296,697170.
3257.00,0.678157,725244.
3258.00,0.685075,733109.
3259.00,0.691827,740806.
3260.00,0.688744,737969.
3261.00,0.686433,735975.
3262.00,0.704676,756025.
3263.00,0.690688,741437.
3264.00,0.616538,662241.
3265.00,0.582949,626630.
3266.00,0.630316,678018.
3267.00,0.679195,731031.
3268.00,0.687272,740166.
3269.00,0.669628,721610.
3270.00,0.638389,688373.
3271.00,0.597237,644411.
3272.00,0.593036,640331.
3273.00,0.625022,675289.
3274.00,0.626416,677192.
3275.00,0.608833,658586.
3276.00,0.570410,617398.
3277.00,0.545922,591297.
3278.00,0.557129,603823.
3279.00,0.560214,607541.
3280.00,0.573722,622597.
3281.00,0.591855,642660.
3282.00,0.579607,629739.
3283.00,0.578432,628883.
3284.00,0.610843,664537.
3285.00,0.614129,668487.
3286.00,0.578053,629594.
3287.00,0.549725,599133.
3288.00,0.563168,614201.
3289.00,0.621818,678609.
3290.00,0.679190,741643.
3291.00,0.693861,758111.
3292.00,0.707191,773162.
3293.00,0.733864,802817.
3294.00,0.739426,809361.
3295.00,0.698272,764759.
3296.00,0.668780,732945.
3297.00,0.693681,760725.
3298.00,0.720509,790612.
3299.00,0.738597,810964.
3300.00,0.769380,845270.
3301.00,0.743128,816856.
3302.00,0.648579,713342.
3303.00,0.611868,673441.
3304.00,0.635079,699408.
3305.00,0.604352,665915.
3306.00,0.541332,596850.
3307.00,0.545590,601967.
3308.00,0.601693,664272.
3309.00,0.642832,710089.
3310.00,0.645711,713671.
3311.00,0.625631,691880.
3312.00,0.589461,652255.
3313.00,0.542598,600760.
3314.00,0.513617,569031.
3315.00,0.520497,577024.
3316.00,0.555181,615847.
3317.00,0.584936,649229.
3318.00,0.607049,674170.
3319.00,0.622246,691446.
3320.00,0.621279,690763.
3321.00,0.590348,656730.
3322.00,0.515312,573569.
3323.00,0.461181,513669.
3324.00,0.504300,562094.
3325.00,0.593941,662378.
3326.00,0.625818,698270.
3327.00,0.590604,659343.
3328.00,0.557168,622387.
3329.00,0.533548,596363.
3330.00,0.554307,619971.
3331.00,0.606460,678683.
3332.00,0.617207,691081.
