wave,norm,flux
3000.00,0.920238,695078.
3001.00,0.872879,659766.
3002.00,0.846778,640644.
3003.00,0.845849,640621.
3004.00,0.886843,672380.
3005.00,0.926691,703280.
3006.00,0.923272,701360.
3007.00,0.892965,679026.
3008.00,0.882240,671581.
3009.00,0.899889,685726.
3010.00,0.924348,705072.
3011.00,0.931508,711230.
3012.00,0.924264,706413.
3013.00,0.927465,709580.
3014.00,0.924628,708110.
3015.00,0.911611,698841.
3016.00,0.898783,689697.
3017.00,0.880045,675991.
3018.00,0.864392,664637.
3019.00,0.840592,646961.
3020.00,0.792573,610606.
3021.00,0.789529,608947.
3022.00,0.870766,672304.
3023.00,0.928280,717354.
3024.00,0.916175,708659.
3025.00,0.882028,682924.
3026.00,0.876662,679483.
3027.00,0.918214,712416.
3028.00,0.949088,737058.
3029.00,0.932065,724516.
3030.00,0.899258,699708.
3031.00,0.888350,691924.
3032.00,0.906846,707046.
3033.00,0.938456,732405.
3034.00,0.957165,747723.
3035.00,0.962838,752876.
3036.00,0.945323,739875.
3037.00,0.904704,708770.
3038.00,0.893657,700838.
3039.00,0.917260,720049.
3040.00,0.917693,721057.
3041.00,0.892181,701685.
3042.00,0.881190,693740.
3043.00,0.900724,709818.
3044.00,0.918003,724117.
3045.00,0.924448,729898.
3046.00,0.924881,730930.
3047.00,0.911736,721228.
3048.00,0.914744,724327.
3049.00,0.935697,741626.
3050.00,0.939226,745116.
3051.00,0.938704,745422.
3052.00,0.946736,752511.
3053.00,0.936529,745086.
3054.00,0.919279,732066.
3055.00,0.920106,733429.
3056.00,0.910108,726118.
3057.00,0.865994,691561.
3058.00,0.842016,673087.
3059.00,0.863631,691045.
3060.00,0.904462,724400.
3061.00,0.936725,750923.
3062.00,0.940783,754859.
3063.00,0.916831,736308.
3064.00,0.881285,708426.
3065.00,0.853850,687015.
3066.00,0.818939,659534.
3067.00,0.802539,646966.
3068.00,0.836411,674933.
3069.00,0.887103,716493.
3070.00,0.910334,735904.
3071.00,0.897786,726409.
3072.00,0.875688,709194.
3073.00,0.883270,716023.
3074.00,0.900785,730877.
3075.00,0.891216,723766.
3076.00,0.897789,729804.
3077.00,0.916242,745473.
3078.00,0.907212,738787.
3079.00,0.902499,735639.
3080.00,0.909315,741868.
3081.00,0.904198,738357.
3082.00,0.897980,733956.
3083.00,0.903964,739530.
3084.00,0.920867,754048.
3085.00,0.936997,767943.
3086.00,0.933806,765999.
3087.00,0.909557,746770.
3088.00,0.885621,727782.
3089.00,0.869013,714780.
3090.00,0.850731,700372.
3091.00,0.829138,683202.
3092.00,0.796631,657002.
3093.00,0.792419,654165.
3094.00,0.847767,700507.
3095.00,0.886769,733340.
3096.00,0.870577,720560.
3097.00,0.850634,704706.
3098.00,0.858646,711981.
3099.00,0.841071,697993.
3100.00,0.803703,667581.
3101.00,0.792403,658804.
3102.00,0.814297,677635.
3103.00,0.865825,721159.
3104.00,0.897906,748500.
3105.00,0.885961,739171.
3106.00,0.880793,735537.
3107.00,0.914931,764736.
3108.00,0.946222,791559.
3109.00,0.941065,787905.
3110.00,0.914465,766302.
3111.00,0.906285,760135.
3112.00,0.919315,771743.
3113.00,0.926904,778780.
3114.00,0.927397,779874.
3115.00,0.935620,787476.
3116.00,0.931165,784381.
3117.00,0.895767,755201.
3118.00,0.863379,728543.
3119.00,0.859818,726185.
3120.00,0.867508,733313.
3121.00,0.877892,742735.
3122.00,0.895683,758444.
3123.00,0.915603,775966.
3124.00,0.908311,770415.
3125.00,0.876369,743958.
3126.00,0.876969,745144.
3127.00,0.906362,770775.
3128.00,0.913203,777228.
3129.00,0.899363,766095.
3130.00,0.885601,755019.
3131.00,0.887467,757268.
3132.00,0.899994,768606.
3133.00,0.900552,769720.
3134.00,0.900467,770311.
3135.00,0.914952,783364.
3136.00,0.921038,789227.
3137.00,0.925669,793874.
3138.00,0.943673,809996.
3139.00,0.953655,819241.
3140.00,0.954416,820578.
3141.00,0.953928,820840.
3142.00,0.940674,810095.
3143.00,0.908679,783186.
3144.00,0.885889,764197.
3145.00,0.890855,769135.
3146.00,0.899732,777434.
3147.00,0.893686,772844.
3148.00,0.902928,781505.
3149.00,0.933528,808655.
3150.00,0.947161,821119.
3151.00,0.938920,814630.
3152.00,0.923524,801932.
3153.00,0.917346,797228.
3154.00,0.913790,794786.
3155.00,0.910554,792621.
3156.00,0.906526,789753.
3157.00,0.894373,779795.
3158.00,0.883181,770671.
3159.00,0.886051,773814.
3160.00,0.884157,772764.
3161.00,0.850854,744244.
3162.00,0.837680,733357.
3163.00,0.879874,770947.
3164.00,0.924250,810458.
3165.00,0.932951,818721.
3166.00,0.926101,813361.
3167.00,0.917172,806161.
3168.00,0.899462,791228.
3169.00,0.898922,791412.
3170.00,0.926645,816482.
3171.00,0.954260,841477.
3172.00,0.967926,854194.
3173.00,0.967319,854329.
3174.00,0.958769,847450.
3175.00,0.953449,843423.
3176.00,0.957978,848102.
3177.00,0.953434,844731.
3178.00,0.928559,823331.
3179.00,0.893629,792979.
3180.00,0.864726,767949.
3181.00,0.861520,765731.
3182.00,0.882998,785442.
3183.00,0.894608,796378.
3184.00,0.892959,795530.
3185.00,0.896166,799017.
3186.00,0.902727,805496.
3187.00,0.909043,811765.
3188.00,0.917844,820265.
3189.00,0.924600,826938.
3190.00,0.906841,811658.
3191.00,0.867721,777245.
3192.00,0.843641,756276.
3193.00,0.843060,756364.
3194.00,0.873625,784407.
3195.00,0.892668,802090.
3196.00,0.871879,783999.
3197.00,0.866500,779797.
3198.00,0.902342,812686.
3199.00,0.918579,827912.
3200.00,0.907870,818886.
3201.00,0.915188,826130.
3202.00,0.922093,832988.
3203.00,0.922250,833772.
3204.00,0.938471,849093.
3205.00,0.954207,863978.
3206.00,0.961281,871041.
3207.00,0.964662,874760.
3208.00,0.951345,863322.
3209.00,0.922105,837413.
3210.00,0.894804,813237.
3211.00,0.881740,801981.
3212.00,0.876653,797951.
3213.00,0.859539,782952.
3214.00,0.849215,774152.
3215.00,0.874167,797513.
3216.00,0.889535,812113.
3217.00,0.880404,804377.
3218.00,0.893942,817378.
3219.00,0.917939,839937.
3220.00,0.928068,849826.
3221.00,0.921299,844238.
3222.00,0.902049,827212.
3223.00,0.901188,827053.
3224.00,0.910241,835976.
3225.00,0.906694,833323.
3226.00,0.894143,822387.
3227.00,0.870348,801081.
3228.00,0.839666,773411.
3229.00,0.829252,764407.
3230.00,0.855629,789319.
3231.00,0.882860,815021.
3232.00,0.886537,818996.
3233.00,0.873481,807514.
3234.00,0.849954,786335.
3235.00,0.840105,777806.
3236.00,0.847985,785683.
3237.00,0.876287,812510.
3238.00,0.897326,832590.
3239.00,0.884549,821323.
3240.00,0.893302,830074.
3241.00,0.908509,844797.
3242.00,0.900457,837908.
3243.00,0.905850,843553.
3244.00,0.928504,865274.
3245.00,0.943719,880068.
3246.00,0.931412,869190.
3247.00,0.893866,834737.
3248.00,0.862246,805805.
3249.00,0.875619,818924.
3250.00,0.913125,854601.
3251.00,0.920852,862414.
3252.00,0.903384,846646.
3253.00,0.892924,837446.
3254.00,0.900393,845058.
3255.00,0.920664,864697.
3256.00,0.941857,885220.
3257.00,0.957479,900529.
3258.00,0.964506,907768.
3259.00,0.962808,906797.
3260.00,0.953689,898832.
3261.00,0.943044,889423.
3262.00,0.945766,892624.
3263.00,0.952428,899530.
3264.00,0.941656,889962.
3265.00,0.931501,880989.
3266.00,0.940712,890325.
3267.00,0.953393,902947.
3268.00,0.960632,910428.
3269.00,0.964539,914757.
3270.00,0.946475,898223.
3271.00,0.909736,863952.
3272.00,0.900620,855913.
3273.00,0.920786,875685.
3274.00,0.934181,889023.
3275.00,0.933824,889279.
3276.00,0.914997,871934.
3277.00,0.895644,854084.
3278.00,0.893531,852659.
3279.00,0.902023,861355.
3280.00,0.918169,877370.
3281.00,0.927659,887030.
3282.00,0.928655,888584.
3283.00,0.940267,900313.
3284.00,0.956270,916250.
3285.00,0.957164,917712.
3286.00,0.940316,902154.
3287.00,0.912918,876457.
3288.00,0.902741,867293.
3289.00,0.925900,890156.
3290.00,0.955672,919384.
3291.00,0.964191,928186.
3292.00,0.962425,927105.
3293.00,0.969233,934292.
3294.00,0.977530,942911.
3295.00,0.972274,938455.
3296.00,0.966641,933646.
3297.00,0.971848,939303.
3298.00,0.974677,942658.
3299.00,0.976506,945051.
3300.00,0.979430,948503.
3301.00,0.971606,941535.
3302.00,0.951586,922740.
3303.00,0.940585,912685.
3304.00,0.948998,921462.
3305.00,0.947625,920717.
3306.00,0.930937,905097.
3307.00,0.933088,907796.
3308.00,0.942970,918005.
3309.00,0.949080,924558.
3310.00,0.963833,939548.
3311.00,0.976857,952856.
3312.00,0.978695,955260.
3313.00,0.971869,949206.
3314.00,0.954630,932966.
3315.00,0.934999,914379.
3316.00,0.938557,918470.
3317.00,0.951220,931454.
3318.00,0.951383,932210.
3319.00,0.952917,934312.
3320.00,0.949848,931895.
3321.00,0.932807,915753.
3322.00,0.905949,889957.
3323.00,0.901664,886340.
3324.00,0.932437,917188.
3325.00,0.957293,942217.
3326.00,0.950744,936348.
3327.00,0.938308,924696.
3328.00,0.935679,922689.
3329.00,0.925717,913443.
3330.00,0.929147,917425.
3331.00,0.942464,931155.
3332.00,0.943570,932834.
3333.00,0.952963,942719.
3334.00,0.953387,943714.
3335.00,0.931374,922497.
3336.00,0.917780,909620.
3337.00,0.928130,920469.
3338.00,0.948118,940877.
3339.00,0.947018,940351.
3340.00,0.924534,918593.
3341.00,0.912395,907109.
3342.00,0.915654,910924.
3343.00,0.930398,926174.
3344.00,0.949500,945775.
3345.00,0.962974,959779.
3346.00,0.954823,952227.
3347.00,0.928621,926659.
3348.00,0.885224,883885.
3349.00,0.848487,847757.
3350.00,0.883869,883703.
3351.00,0.942973,943352.
3352.00,0.959877,960824.
3353.00,0.950178,951689.
3354.00,0.942819,944905.
3355.00,0.953743,956448.
3356.00,0.968919,972257.
3357.00,0.971583,975512.
3358.00,0.960037,964496.
3359.00,0.938191,943117.
3360.00,0.902080,907355.
3361.00,0.868394,874021.
3362.00,0.888842,895186.
3363.00,0.942710,950005.
3364.00,0.967965,976015.
3365.00,0.956247,964762.
3366.00,0.934994,943894.
3367.00,0.927728,937127.
3368.00,0.917944,927795.
3369.00,0.905662,915933.
3370.00,0.904377,915185.
3371.00,0.888241,899374.
3372.00,0.855453,866698.
3373.00,0.863761,875671.
3374.00,0.906890,919948.
3375.00,0.948068,962283.
3376.00,0.973364,988528.
3377.00,0.972600,988322.
3378.00,0.953355,969327.
3379.00,0.916579,932473.
3380.00,0.876682,892424.
3381.00,0.886520,903009.
3382.00,0.921671,939357.
3383.00,0.919247,937414.
3384.00,0.916793,935478.
3385.00,0.944149,963964.
3386.00,0.959932,980630.
3387.00,0.943181,964064.
3388.00,0.924132,945160.
3389.00,0.938222,960147.
3390.00,0.948751,971465.
3391.00,0.925236,947920.
3392.00,0.896192,918705.
3393.00,0.889758,912655.
3394.00,0.903272,927059.
3395.00,0.927110,952080.
3396.00,0.955098,981383.
3397.00,0.970263,997529.
3398.00,0.973577,1.00150e+06
3399.00,0.970979,999406.
3400.00,0.969406,998359.
3401.00,0.960546,989794.
3402.00,0.942623,971878.
3403.00,0.930353,959780.
3404.00,0.925793,955626.
3405.00,0.930488,961023.
3406.00,0.932094,963218.
3407.00,0.917788,948969.
3408.00,0.910254,941722.
3409.00,0.910806,942830.
3410.00,0.924711,957776.
3411.00,0.942364,976601.
3412.00,0.927850,962081.
3413.00,0.896861,930475.
3414.00,0.889203,923070.
3415.00,0.911447,946706.
3416.00,0.939297,976170.
3417.00,0.946414,984105.
3418.00,0.948624,986961.
3419.00,0.963126,1.00261e+06
3420.00,0.971092,1.01145e+06
3421.00,0.958422,998803.
3422.00,0.934757,974680.
3423.00,0.916525,956210.
3424.00,0.920818,961236.
3425.00,0.934101,975636.
3426.00,0.926940,968679.
3427.00,0.920717,962722.
3428.00,0.943469,987067.
3429.00,0.971016,1.01644e+06
3430.00,0.980845,1.02728e+06
3431.00,0.972286,1.01887e+06
3432.00,0.949809,995849.
3433.00,0.925947,971371.
3434.00,0.936915,983440.
3435.00,0.968306,1.01694e+06
3436.00,0.972882,1.02228e+06
3437.00,0.954749,1.00377e+06
3438.00,0.943812,992815.
3439.00,0.936464,985613.
3440.00,0.904540,952513.
3441.00,0.876430,923432.
3442.00,0.883412,931304.
3443.00,0.884436,932873.
3444.00,0.878344,926956.
3445.00,0.897387,947576.
3446.00,0.922045,974133.
3447.00,0.944440,998330.
3448.00,0.959831,1.01513e+06
3449.00,0.956554,1.01220e+06
3450.00,0.952664,1.00862e+06
3451.00,0.944520,1.00052e+06
3452.00,0.917736,972668.
3453.00,0.908890,963837.
3454.00,0.938126,995394.
3455.00,0.964095,1.02348e+06
3456.00,0.966490,1.02656e+06
3457.00,0.957893,1.01796e+06
3458.00,0.942817,1.00247e+06
3459.00,0.933352,992935.
3460.00,0.922378,981770.
3461.00,0.902943,961592.
3462.00,0.908484,968023.
3463.00,0.942634,1.00494e+06
3464.00,0.961070,1.02511e+06
3465.00,0.943740,1.00714e+06
3466.00,0.927650,990502.
3467.00,0.942564,1.00696e+06
3468.00,0.958941,1.02498e+06
3469.00,0.961962,1.02874e+06
